01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
ВОЛЯ	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	12
ДПС	2	2	1	1	0	0	0	1	3	0	1	1	1	0	1	0	1	2	1	1	0	1	0	0	0	0	1	2	1	2	0	26
БСП	3	4	4	3	2	2	1	2	1	2	2	2	3	2	3	3	4	1	3	1	2	1	6	4	5	3	4	1	3	1	2	80
ГЕРБ	5	6	6	3	1	2	2	2	1	2	2	2	4	2	3	5	4	1	3	1	2	2	8	6	6	3	4	1	3	2	1	95
ОП	1	2	2	1	1	1	1	1	0	0	0	0	1	0	1	2	1	0	1	1	1	0	1	1	2	1	1	0	1	1	1	27
Общо	11	14	15	8	4	6	4	6	5	4	5	5	9	4	9	11	11	4	8	4	6	4	16	12	14	8	11	4	8	6	4	240
